"","State","Region","Retail...recreation","Grocery...pharmacy","Parks","Transit.stations","Workplaces","Residential"
"1","Alabama","Total",-41,-13,19,-30,-32,9
"2","Alabama","Autauga County",-42,-8,-14,NA,-35,16
"3","Alabama","Baldwin County",-47,-19,-27,-24,-32,9
"4","Alabama","Barbour County",-27,-20,NA,NA,-23,NA
"5","Alabama","Bibb County",-25,-10,NA,NA,-32,NA
"6","Alabama","Blount County",-36,-2,NA,NA,-29,15
"7","Alabama","Bullock County",-37,-13,NA,NA,-24,NA
"8","Alabama","Butler County",-37,-5,NA,-45,-30,NA
"9","Alabama","Calhoun County",-40,-17,-22,NA,-33,8
"10","Alabama","Chambers County",-34,1,NA,-12,-28,13
"11","Alabama","Cherokee County",-24,6,NA,NA,-29,NA
"12","Alabama","Chilton County",-41,-11,NA,-27,-26,14
"13","Alabama","Choctaw County",-13,-16,NA,NA,-28,NA
"14","Alabama","Clarke County",-27,-24,NA,NA,-27,NA
"15","Alabama","Clay County",-33,-14,NA,NA,-20,NA
"16","Alabama","Cleburne County",-22,-3,NA,-36,-9,NA
"17","Alabama","Coffee County",-28,-15,NA,NA,-26,11
"18","Alabama","Colbert County",-30,-6,-14,-20,-22,12
"19","Alabama","Conecuh County",-49,-10,NA,-33,-21,NA
"20","Alabama","Coosa County",NA,NA,NA,NA,-28,NA
"21","Alabama","Covington County",-37,-15,NA,NA,-23,7
"22","Alabama","Crenshaw County",-57,-17,NA,NA,-35,NA
"23","Alabama","Cullman County",-33,-2,86,-33,-29,8
"24","Alabama","Dale County",-34,-9,NA,-17,-25,11
"25","Alabama","Dallas County",-27,-2,NA,NA,-22,5
"26","Alabama","DeKalb County",-38,-7,9,-33,-23,11
"27","Alabama","Elmore County",-40,-13,50,NA,-37,8
"28","Alabama","Escambia County",-35,-20,NA,NA,-27,7
"29","Alabama","Etowah County",-47,-13,19,-27,-33,9
"30","Alabama","Fayette County",-23,NA,NA,NA,-28,NA
"31","Alabama","Franklin County",-27,-4,NA,NA,-14,5
"32","Alabama","Geneva County",-34,-4,NA,NA,-28,-2
"33","Alabama","Greene County",11,-22,NA,-32,-33,NA
"34","Alabama","Hale County",-46,-29,NA,NA,-14,NA
"35","Alabama","Henry County",-46,-8,NA,NA,-29,NA
"36","Alabama","Houston County",-46,-18,23,-27,-30,9
"37","Alabama","Jackson County",-31,-4,NA,NA,-25,12
"38","Alabama","Jefferson County",-48,-16,7,-43,-36,11
"39","Alabama","Lamar County",0,2,NA,NA,-28,NA
"40","Alabama","Lauderdale County",-43,-14,-15,NA,-33,9
"41","Alabama","Lawrence County",-27,-6,NA,NA,-25,7
"42","Alabama","Lee County",-52,-23,-14,NA,-36,11
"43","Alabama","Limestone County",-35,-12,38,NA,-32,9
"44","Alabama","Lowndes County",NA,NA,NA,-29,-34,NA
"45","Alabama","Macon County",-29,-12,NA,-42,-37,NA
"46","Alabama","Madison County",-46,-17,35,-39,-38,10
"47","Alabama","Marengo County",-18,-4,NA,NA,-17,NA
"48","Alabama","Marion County",-31,-4,NA,NA,-24,NA
"49","Alabama","Marshall County",-34,-4,107,NA,-30,8
"50","Alabama","Mobile County",-39,-11,-21,-30,-29,9
"51","Alabama","Monroe County",-28,-7,NA,NA,-27,NA
"52","Alabama","Montgomery County",-44,-14,-9,-14,-34,11
"53","Alabama","Morgan County",-37,-4,18,-27,-27,8
"54","Alabama","Perry County",-53,4,NA,NA,-29,NA
"55","Alabama","Pickens County",-36,-4,NA,NA,-36,NA
"56","Alabama","Pike County",-39,-36,NA,NA,-25,0
"57","Alabama","Randolph County",-29,-14,NA,NA,-22,NA
"58","Alabama","Russell County",-28,-5,NA,NA,-27,13
"59","Alabama","Shelby County",-43,-20,44,NA,-36,12
"60","Alabama","St. Clair County",-30,-15,NA,-24,-34,9
"61","Alabama","Sumter County",-52,-6,NA,NA,-31,NA
"62","Alabama","Talladega County",-31,-10,17,-12,-33,7
"63","Alabama","Tallapoosa County",-31,-9,NA,NA,-25,13
"64","Alabama","Tuscaloosa County",-46,-14,-1,-29,-40,12
"65","Alabama","Walker County",-37,-10,NA,-32,-24,12
"66","Alabama","Washington County",NA,-13,NA,NA,-25,NA
"67","Alabama","Wilcox County",-49,-17,NA,NA,-31,NA
"68","Alabama","Winston County",-28,1,NA,NA,-21,NA
"69","Alaska","Total",-48,-27,18,-55,-33,10
"70","Alaska","Anchorage",-49,-25,51,-53,-39,11
"71","Alaska","Bethel",NA,-26,NA,NA,-19,NA
"72","Alaska","Fairbanks North Star",-48,-34,NA,-76,-32,12
"73","Alaska","Juneau",-61,-34,-34,-66,-31,-1
"74","Alaska","Kenai Peninsula Borough",-49,-28,NA,NA,-24,14
"75","Alaska","Ketchikan Gateway",-48,-38,NA,NA,-32,NA
"76","Alaska","Kodiak Island",-50,NA,NA,NA,-23,NA
"77","Alaska","Matanuska-Susitna",-48,-33,NA,NA,-33,10
"78","Alaska","North Slope",NA,NA,NA,NA,-7,NA
